7.76153,45.13965,PHOTORED RH
7.76940,44.96827,PHOTORED
7.77041,45.14886,VISTARED
7.77045,44.96761,PHOTORED
7.77245,45.60297,ROSSOSTOP@50
7.77507,45.13583,PHOTORED RH
7.77510,45.10725,VISTARED
7.77556,45.60273,ROSSOSTOP@50
7.77600,45.20536,PHOTORED
7.77727,45.20435,PHOTORED
7.78591,45.19202,PHOTORED
7.78954,44.63617,PHOTORED
7.79971,45.33073,VISTARED
7.80269,45.02574,PHOTORED
7.81510,44.94293,ROSSOSTOP
7.82830,45.01572,PHOTORED
7.83410,45.00859,PHOTORED FTR
7.83547,45.33451,VISTARED
7.83785,44.92229,PHOTORED
7.84233,45.63068,ROSSOSTOP
7.84704,45.63464,ROSSOSTOP
7.85803,44.64343,ROSSOSTOP
7.86722,45.45635,PHOTORED TRAFFIPAX RH
7.86905,45.40277,PHOTORED
7.87876,45.30824,PHOTORED
7.87881,45.45314,PHOTORED TRAFFIPAX RH
7.87992,43.83948,PHOTORED
7.89211,45.28846,ROSSOSTOP
7.89223,45.28780,PHOTORED RH
7.89254,45.28360,PHOTORED RH@50
7.90388,45.46937,PHOTORED TRAFFIPAX RH
7.98590,44.79524,PHOTORED
8.00196,45.44386,PHOTORED
8.05516,45.35100,PHOTORED
8.06967,45.15660,ROSSOSTOP
8.08881,45.40607,PHOTORED
8.09758,45.23039,T-RED
8.11235,45.44452,PHOTORED
8.12013,45.50634,VISTARED
8.13112,44.09181,ROSSOSTOP
8.13826,44.07741,ROSSOSTOP
8.13872,43.97188,ROSSOSTOP@50
8.13949,44.07727,ROSSOSTOP
8.14618,43.95734,ROSSOSTOP@50
8.14835,45.08741,ROSSOSTOP@50
8.16128,43.95320,ROSSOSTOP@50
8.16541,45.49091,PHOTORED
8.17146,44.05653,ROSSOSTOP@50
8.17326,44.05675,ROSSOSTOP@50
8.20290,44.76036,PHOTORED
8.20982,44.12450,PHOTORED
8.21458,45.11546,ROSSOSTOP@50
8.21516,44.90002,ROSSOSTOP
8.21683,44.08216,PHOTORED
8.24093,44.10867,PHOTORED
8.26820,45.69685,ROSSOSTOP
8.28110,45.45519,PHOTORED
8.28896,45.60646,PHOTORED
8.29641,46.10848,ROSSOSTOP@50
8.30128,46.08184,ROSSOSTOP
8.30562,45.53735,PHOTORED@50
8.31151,44.15812,PHOTORED
8.31341,46.10577,ROSSOSTOP
8.31425,46.12007,ROSSOSTOP
8.31696,40.56341,ROSSOSTOP@30
8.31880,40.56661,ROSSOSTOP@30
8.32183,45.67477,ROSSOSTOP
8.32391,46.22036,ROSSOSTOP@50
8.32929,44.64837,ROSSOSTOP
8.33252,45.66738,ROSSOSTOP
8.33269,45.66518,ROSSOSTOP
8.33514,44.17079,PHOTORED
8.35307,44.59934,PHOTORED RH FTR
8.35367,44.60223,PHOTORED RH FTR
8.36697,45.61792,ROSSOSTOP@50
8.36721,45.65304,ROSSOSTOP@50
8.38003,45.63523,ROSSOSTOP
8.38748,45.63064,ROSSOSTOP
8.38896,45.63211,ROSSOSTOP
8.40873,45.81651,ROSSOSTOP
8.41955,45.31962,PHOTORED
8.42040,45.32179,PHOTORED
8.42310,45.95833,ROSSOSTOP
8.42497,45.31863,T-RED
8.42657,45.31420,T-RED
8.43450,45.58086,ROSSOSTOP
8.43915,45.57455,ROSSOSTOP
8.44057,44.72268,ROSSOSTOP
8.46050,45.55374,PHOTORED
8.46386,45.45407,PHOTORED
8.47697,45.54091,PHOTORED
8.48853,44.86334,ROSSOSTOP
8.49151,46.12919,ROSSOSTOP
8.49485,40.75750,ROSSOSTOP
8.50063,44.66275,ROSSOSTOP RH
8.50449,44.66238,PHOTORED RH FTR
8.51229,45.86413,ROSSOSTOP
8.51385,45.94965,ROSSOSTOP@50
8.52227,45.80522,ROSSOSTOP@50
8.52565,45.86918,ROSSOSTOP
8.52601,45.80827,T-RED
8.52899,44.75185,T-RED RH
8.52967,45.74913,PHOTORED
8.53238,45.30175,PHOTORED
8.53683,45.81943,ROSSOSTOP@50
8.53808,39.31051,TRAFFIPHOT RH
8.54034,45.63864,ROSSOSTOP
8.54255,45.62449,ROSSOSTOP
8.54269,45.45401,PHOTORED
8.54848,44.64898,ROSSOSTOP RH@50
8.55160,44.64698,ROSSOSTOP RH@50
8.55525,44.70697,ROSSOSTOP
8.55568,45.57424,PHOTORED
8.56560,44.60299,ROSSOSTOP@50
8.57617,44.88177,ROSSOSTOP@50
8.58597,44.63410,ROSSOSTOP@50
8.59625,39.89559,PARVC
8.59687,45.75020,TRAFFIPHOT RH
